<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GBPUSD,60,20190408,220000,1.3069000,1.3073000,1.3061000,1.3066000,19092
GBPUSD,60,20190408,230000,1.3065000,1.3068000,1.3057000,1.3065000,32368
GBPUSD,60,20190409,000000,1.3064000,1.3069000,1.3055000,1.3056000,24040
GBPUSD,60,20190409,010000,1.3056000,1.3068000,1.3052000,1.3063000,19250
GBPUSD,60,20190409,020000,1.3062000,1.3067000,1.3057000,1.3060000,29990
GBPUSD,60,20190409,030000,1.3060000,1.3064000,1.3056000,1.3060000,25350
GBPUSD,60,20190409,040000,1.3061000,1.3068000,1.3058000,1.3063000,23911
GBPUSD,60,20190409,050000,1.3063000,1.3073000,1.3061000,1.3071000,26698
GBPUSD,60,20190409,060000,1.3071000,1.3079000,1.3069000,1.3077000,27540
GBPUSD,60,20190409,070000,1.3077000,1.3081000,1.3073000,1.3078000,28001
GBPUSD,60,20190409,080000,1.3078000,1.3079000,1.3072000,1.3073000,24221
GBPUSD,60,20190409,090000,1.3074000,1.3095000,1.3071000,1.3092000,33206
GBPUSD,60,20190409,100000,1.3092000,1.3094000,1.3070000,1.3082000,72546
GBPUSD,60,20190409,110000,1.3082000,1.3086000,1.3065000,1.3068000,95694
GBPUSD,60,20190409,120000,1.3068000,1.3121000,1.3054000,1.3109000,94519
GBPUSD,60,20190409,130000,1.3109000,1.3114000,1.3061000,1.3089000,76685
GBPUSD,60,20190409,140000,1.3089000,1.3093000,1.3072000,1.3087000,71262
GBPUSD,60,20190409,150000,1.3087000,1.3089000,1.3053000,1.3058000,77841
GBPUSD,60,20190409,160000,1.3057000,1.3082000,1.3041000,1.3056000,118404
GBPUSD,60,20190409,170000,1.3056000,1.3067000,1.3051000,1.3059000,110735
GBPUSD,60,20190409,180000,1.3058000,1.3065000,1.3038000,1.3046000,98541
GBPUSD,60,20190409,190000,1.3046000,1.3061000,1.3031000,1.3046000,96409
GBPUSD,60,20190409,200000,1.3047000,1.3047000,1.3032000,1.3034000,44743
GBPUSD,60,20190409,210000,1.3035000,1.3046000,1.3029000,1.3039000,21660
GBPUSD,60,20190409,220000,1.3039000,1.3044000,1.3030000,1.3043000,38726
GBPUSD,60,20190409,230000,1.3043000,1.3063000,1.3039000,1.3052000,65297
GBPUSD,60,20190410,000000,1.3052000,1.3060000,1.3045000,1.3048000,28456
GBPUSD,60,20190410,010000,1.3052000,1.3058000,1.3041000,1.3053000,19343
GBPUSD,60,20190410,020000,1.3053000,1.3058000,1.3048000,1.3055000,18402
GBPUSD,60,20190410,030000,1.3056000,1.3058000,1.3053000,1.3055000,27607
GBPUSD,60,20190410,040000,1.3055000,1.3055000,1.3046000,1.3049000,30380
GBPUSD,60,20190410,050000,1.3049000,1.3054000,1.3046000,1.3052000,22139
GBPUSD,60,20190410,060000,1.3052000,1.3054000,1.3047000,1.3051000,19652
GBPUSD,60,20190410,070000,1.3051000,1.3057000,1.3050000,1.3054000,35022
GBPUSD,60,20190410,080000,1.3054000,1.3063000,1.3051000,1.3058000,29921
GBPUSD,60,20190410,090000,1.3058000,1.3076000,1.3056000,1.3068000,35776
GBPUSD,60,20190410,100000,1.3069000,1.3078000,1.3062000,1.3076000,50693
GBPUSD,60,20190410,110000,1.3075000,1.3080000,1.3053000,1.3069000,91736
GBPUSD,60,20190410,120000,1.3069000,1.3086000,1.3063000,1.3065000,93537
GBPUSD,60,20190410,130000,1.3065000,1.3080000,1.3061000,1.3077000,73959
GBPUSD,60,20190410,140000,1.3077000,1.3085000,1.3071000,1.3082000,87295
GBPUSD,60,20190410,150000,1.3081000,1.3102000,1.3078000,1.3084000,82133
GBPUSD,60,20190410,160000,1.3084000,1.3112000,1.3073000,1.3075000,109222
GBPUSD,60,20190410,170000,1.3074000,1.3084000,1.3058000,1.3070000,118914
GBPUSD,60,20190410,180000,1.3070000,1.3094000,1.3053000,1.3088000,107533
GBPUSD,60,20190410,190000,1.3089000,1.3099000,1.3075000,1.3098000,86710
GBPUSD,60,20190410,200000,1.3098000,1.3116000,1.3088000,1.3112000,62558
GBPUSD,60,20190410,210000,1.3112000,1.3120000,1.3108000,1.3112000,56855
GBPUSD,60,20190410,220000,1.3113000,1.3115000,1.3080000,1.3083000,68841
GBPUSD,60,20190410,230000,1.3082000,1.3102000,1.3079000,1.3091000,47732
GBPUSD,60,20190411,000000,1.3092000,1.3094000,1.3080000,1.3086000,29557
GBPUSD,60,20190411,010000,1.3086000,1.3093000,1.3079000,1.3086000,19392
GBPUSD,60,20190411,020000,1.3085000,1.3096000,1.3083000,1.3088000,23118
GBPUSD,60,20190411,030000,1.3088000,1.3099000,1.3087000,1.3097000,22773
GBPUSD,60,20190411,040000,1.3096000,1.3102000,1.3085000,1.3097000,37771
GBPUSD,60,20190411,050000,1.3097000,1.3101000,1.3089000,1.3092000,27030
GBPUSD,60,20190411,060000,1.3092000,1.3104000,1.3091000,1.3099000,26863
GBPUSD,60,20190411,070000,1.3098000,1.3102000,1.3092000,1.3099000,24438
GBPUSD,60,20190411,080000,1.3100000,1.3109000,1.3094000,1.3106000,25471
GBPUSD,60,20190411,090000,1.3106000,1.3108000,1.3093000,1.3097000,38460
GBPUSD,60,20190411,100000,1.3095000,1.3101000,1.3076000,1.3084000,89497
GBPUSD,60,20190411,110000,1.3084000,1.3109000,1.3081000,1.3098000,112042
GBPUSD,60,20190411,120000,1.3098000,1.3102000,1.3057000,1.3079000,93029
GBPUSD,60,20190411,130000,1.3079000,1.3094000,1.3074000,1.3090000,58183
GBPUSD,60,20190411,140000,1.3090000,1.3100000,1.3078000,1.3097000,49521
GBPUSD,60,20190411,150000,1.3097000,1.3099000,1.3074000,1.3078000,69543
GBPUSD,60,20190411,160000,1.3078000,1.3081000,1.3063000,1.3078000,101866
GBPUSD,60,20190411,170000,1.3078000,1.3086000,1.3068000,1.3081000,106029
GBPUSD,60,20190411,180000,1.3080000,1.3096000,1.3069000,1.3086000,113323
GBPUSD,60,20190411,190000,1.3086000,1.3089000,1.3062000,1.3067000,94305
GBPUSD,60,20190411,200000,1.3067000,1.3085000,1.3060000,1.3067000,62184
GBPUSD,60,20190411,210000,1.3067000,1.3074000,1.3052000,1.3065000,54922
GBPUSD,60,20190411,220000,1.3065000,1.3065000,1.3050000,1.3057000,46001
GBPUSD,60,20190411,230000,1.3057000,1.3060000,1.3051000,1.3058000,32617
GBPUSD,60,20190412,000000,1.3058000,1.3060000,1.3049000,1.3050000,22123
GBPUSD,60,20190412,010000,1.3050000,1.3057000,1.3049000,1.3053000,16073
GBPUSD,60,20190412,020000,1.3052000,1.3059000,1.3052000,1.3056000,23196
GBPUSD,60,20190412,030000,1.3056000,1.3062000,1.3053000,1.3054000,23801
GBPUSD,60,20190412,040000,1.3054000,1.3061000,1.3049000,1.3060000,42794
GBPUSD,60,20190412,050000,1.3060000,1.3066000,1.3055000,1.3064000,30055
GBPUSD,60,20190412,060000,1.3064000,1.3073000,1.3063000,1.3068000,28913
GBPUSD,60,20190412,070000,1.3068000,1.3081000,1.3065000,1.3076000,33375
GBPUSD,60,20190412,080000,1.3076000,1.3076000,1.3070000,1.3074000,25006
GBPUSD,60,20190412,090000,1.3074000,1.3074000,1.3059000,1.3061000,21209
GBPUSD,60,20190412,100000,1.3061000,1.3068000,1.3056000,1.3059000,43061
GBPUSD,60,20190412,110000,1.3059000,1.3064000,1.3049000,1.3061000,78399
GBPUSD,60,20190412,120000,1.3061000,1.3075000,1.3056000,1.3070000,110178
GBPUSD,60,20190412,130000,1.3070000,1.3077000,1.3062000,1.3075000,75906
GBPUSD,60,20190412,140000,1.3075000,1.3084000,1.3069000,1.3083000,72298
GBPUSD,60,20190412,150000,1.3083000,1.3101000,1.3078000,1.3090000,79638
GBPUSD,60,20190412,160000,1.3090000,1.3127000,1.3089000,1.3121000,103082
GBPUSD,60,20190412,170000,1.3119000,1.3133000,1.3106000,1.3117000,100342
GBPUSD,60,20190412,180000,1.3116000,1.3124000,1.3091000,1.3102000,104446
GBPUSD,60,20190412,190000,1.3102000,1.3114000,1.3080000,1.3085000,81460
GBPUSD,60,20190412,200000,1.3085000,1.3093000,1.3076000,1.3087000,59726
GBPUSD,60,20190412,210000,1.3087000,1.3094000,1.3077000,1.3079000,49628
GBPUSD,60,20190412,220000,1.3079000,1.3083000,1.3073000,1.3077000,44892
GBPUSD,60,20190412,230000,1.3077000,1.3081000,1.3065000,1.3079000,36901
GBPUSD,60,20190413,000000,1.3078000,1.3078000,1.3065000,1.3071000,24860
GBPUSD,60,20190413,010000,1.3072000,1.3072000,1.3072000,1.3072000,1
GBPUSD,60,20190414,230000,1.3078000,1.3088000,1.3078000,1.3078000,66
GBPUSD,60,20190415,000000,1.3078000,1.3081000,1.3078000,1.3079000,38
GBPUSD,60,20190415,010000,1.3079000,1.3086000,1.3067000,1.3072000,2675
GBPUSD,60,20190415,020000,1.3072000,1.3080000,1.3070000,1.3079000,14952
GBPUSD,60,20190415,030000,1.3079000,1.3083000,1.3076000,1.3083000,37755
GBPUSD,60,20190415,040000,1.3083000,1.3094000,1.3079000,1.3090000,29383
GBPUSD,60,20190415,050000,1.3091000,1.3093000,1.3084000,1.3091000,28256
GBPUSD,60,20190415,060000,1.3091000,1.3103000,1.3088000,1.3101000,32086
GBPUSD,60,20190415,070000,1.3101000,1.3102000,1.3091000,1.3094000,29344
GBPUSD,60,20190415,080000,1.3094000,1.3099000,1.3091000,1.3094000,22089
GBPUSD,60,20190415,090000,1.3094000,1.3097000,1.3087000,1.3088000,21075
GBPUSD,60,20190415,100000,1.3088000,1.3093000,1.3077000,1.3080000,45675
GBPUSD,60,20190415,110000,1.3080000,1.3106000,1.3077000,1.3099000,80861
GBPUSD,60,20190415,120000,1.3098000,1.3107000,1.3092000,1.3099000,85610
GBPUSD,60,20190415,130000,1.3099000,1.3105000,1.3090000,1.3101000,60119
GBPUSD,60,20190415,140000,1.3101000,1.3115000,1.3095000,1.3111000,85097
GBPUSD,60,20190415,150000,1.3110000,1.3115000,1.3102000,1.3106000,73996
GBPUSD,60,20190415,160000,1.3105000,1.3115000,1.3102000,1.3114000,81314
GBPUSD,60,20190415,170000,1.3114000,1.3119000,1.3092000,1.3102000,74184
GBPUSD,60,20190415,180000,1.3103000,1.3117000,1.3096000,1.3114000,71878
